,Oct
868,4.536116009653077
869,4.7170712231918355
870,5.026545638766645
871,5.355326689259204
872,5.759795735494895
873,6.137046371264675
874,5.729787923074622
875,5.817754436469793
876,6.055227322921383
877,6.259438671904527
878,5.865269305537703
879,5.438743381234945
880,5.331703515189615
881,5.319429061699005
882,5.112111589618723
883,5.117931643432256
884,5.281693599212998
885,5.768096089118013
886,6.030627810991542
887,6.7953420030850635
888,7.024116295819178
889,6.8949683858384025
890,6.912589329932058
891,6.685531521469722
892,5.89321506860681
893,5.5997470173567825
894,5.735821253375861
895,6.313525483962958
896,7.034590446956077
897,7.92664740655186
898,7.894616644794666
899,8.37877857795319
900,8.355709786276206
901,8.303603339720699
902,8.143041671789044
903,7.7322723553885595
904,6.9514499040617315
905,6.354004776892212
906,5.702190218094984
907,4.95800448938553
908,4.005326663206495
909,3.3887018788289893
910,4.194621769476544
911,4.150010783996369
912,3.5242140815410625
913,2.97272288285475
914,2.211956468042761
915,1.0923372710939665
916,0.5534266842863707
917,1.3009474724778882
918,2.0031393549949517
919,2.9797352700999884
920,3.9348430057206225
921,4.859797086204673
922,6.352259899878601
923,7.166095894170134
924,9.307640766534055
925,9.742218106520273
926,9.24193917399441
927,9.568104479775581
928,9.129445176969938
929,8.103920346839338
930,6.967635166753383
931,6.400569924165675
932,5.806522427718018
933,5.126109271018257
934,3.5894519570391434
935,3.354098631797067
936,4.213789485814389
937,5.169014370930848
938,5.458737944846345
939,6.512463553649244
940,6.559627228670473
941,6.581320366709481
942,6.9241433991371135
943,6.817041746942931
944,6.168094200321082
945,5.4553071273721505
946,4.675159501177586
947,4.549599205800825
948,4.802578854018493
949,5.664361259195652
950,6.84009365791779
951,7.380106225434333
952,7.047668969981677
953,6.709401197218387
954,5.989473950174196
955,4.9097791316495645
956,3.813394344595535
957,3.0300963500623515
958,3.1879607200230913
959,3.466343025495147
960,4.173650784443042
961,5.1587157359316915
962,6.127683340277396
963,6.6117926130973546
964,7.188255173914204
965,8.313499057629084
966,9.360417096811826
967,10.036176386629158
968,10.626037055060484
969,11.27361018742936
970,12.217554570305131
971,13.307091426158726
972,13.910718271088912
973,13.767899472130088
974,14.237538999132815
975,13.75015799818679
976,14.069813675788248
977,15.095273218001774
978,12.435466567692126
979,12.40544624308144
980,11.324561894441116
981,10.29650008064398
982,9.469796837156835
983,9.086391630857332
984,8.227730639168492
985,7.100058444532242
986,6.6405013876361565
987,7.270379445667214
988,7.849117296106809
989,8.051261826905224
990,8.675649787688004
991,9.094728831192509
992,9.74342875222154
993,11.080572353389957
994,11.386116371148479
995,11.531976761599509
996,11.520247054584214
997,11.616806815242569
998,11.64604865519931
999,11.57509458809985
1000,11.2929773172729
1001,11.083165490858043
1002,10.815497321097105
1003,10.479727838915101
1004,9.668530418428503
1005,8.811409290738
1006,7.231670242104533
1007,7.138815729264356
1008,7.479531424217474
1009,7.533914698516931
1010,7.286982948370992
1011,7.17299584857168
1012,7.3506285758687016
1013,7.780068788437896
1014,8.10886213252587
1015,7.994237572045856
1016,7.738810594817354
1017,7.664237546861825
1018,7.152839805363715
1019,7.61996531541224
1020,8.030291442828752
1021,8.402994248374597
1022,8.675322444509291
1023,8.846850704226146
1024,9.009500036640546
1025,9.193351935900491
1026,9.139376084336012
1027,9.14785086014766
1028,9.266744837526444
1029,9.122207341997385
1030,8.307763009086798
