,Jul
1008,15.525622679147139
1009,16.59497580701145
1010,16.971798691774733
1011,17.57793496315482
1012,17.696896719183187
1013,17.550489497904028
1014,17.614331267379118
1015,17.56810233050703
1016,17.66063204836501
1017,18.358996413685528
1018,19.134936699132897
1019,20.507127689283102
1020,20.77221391150091
1021,20.601918530712155
1022,20.84364234536021
1023,21.0512718003128
1024,21.462148694162302
1025,21.29004394267826
1026,20.885956629103365
1027,20.21248853809071
1028,19.46483910458125
1029,18.822021797317767
1030,17.806441454230615
1031,17.790324798600498
1032,18.106348818593453
1033,18.16826393377285
1034,18.480228380705064
1035,18.725341234754506
1036,18.742180668639577
1037,18.77144623484478
1038,18.71161096344507
1039,18.580140535776604
1040,18.17436898532106
1041,17.662475822047362
1042,16.58564315339578
1043,16.510866069629014
1044,16.531262542639343
1045,16.51937204257957
1046,16.090556803042638
1047,15.63230453213159
1048,15.108823463852191
1049,14.828644676953632
1050,14.493932543869448
1051,14.05109390542506
1052,13.552391755065509
1053,13.018024273647967
1054,11.056377248112579
1055,10.560956471514418
1056,10.520343229977108
1057,10.582811855887224
1058,10.519440952083917
1059,10.243210247395442
1060,10.382068706614739
1061,10.719511144104212
1062,11.048198766248102
1063,11.267076919529357
1064,11.082707667381445
1065,10.441809956547539
1066,9.351707973456307
1067,8.796223035087792
1068,8.759644845737895
1069,8.848877869722559
1070,8.735386938604673
1071,8.267701307398635
1072,7.73366612231248
1073,7.475894373459911
1074,7.196908834885972
1075,6.77727417412953
1076,6.420068486844165
1077,5.823784035010147
1078,4.211975760497809
1079,2.98687861961539
1080,1.6336263839517926
1081,1.3136076014714781
1082,1.399417480526306
1083,0.7941886344012878
1084,1.1270375012172393
1085,2.402235797353071
1086,4.62494473215316
1087,7.7155016717622855
1088,10.00011228851129
1089,11.604090235985105
1090,13.384670144597843
1091,13.74805968416591
1092,14.51143013231451
1093,15.313002899779873
1094,15.554057297180847
1095,15.63047809526806
1096,15.708596961441575
1097,17.104833538583566
1098,18.29306625696743
1099,18.111372325576117
1100,16.62351695005863
1101,16.333334375956028
1102,16.58984898427899
1103,16.363896356940998
1104,16.034791179518812
1105,17.463201318316997
1106,17.135222847460017
1107,17.1379910313485
1108,18.073028264221968
1109,19.11063378708362
1110,19.80277564018214
1111,19.84206254366058
1112,19.699934601355974
1113,19.8262335254898
1114,20.411320712391014
1115,20.907965728973526
1116,20.946075146344803
1117,20.66288785536968
1118,20.85111654746352
1119,20.938796823177448
1120,20.883567602894548
1121,20.770579817253697
1122,20.94644845121259
1123,21.184925897418363
1124,21.10929594241415
1125,20.994348679946416
1126,20.325757119908488
1127,21.05590344364875
1128,20.890408891117612
1129,19.926878551151567
