,Jun
748,7.812272112649979
749,8.26616131053442
750,8.685652172685586
751,8.762528109400193
752,8.652955143879613
753,7.222677626200398
754,7.668856501743317
755,7.716687597731948
756,6.580308462633774
757,6.211521397028593
758,6.812270503912696
759,8.45457842642123
760,8.693838924432574
761,8.609332831586139
762,7.182008993218644
763,7.586881980001533
764,8.270380943959257
765,7.886864709266499
766,5.18865218775441
767,5.539881502519277
768,6.5095322141286145
769,8.176385344327558
770,10.808798285641751
771,10.747111819558494
772,10.379567334123754
773,10.31208025469842
774,9.997738400937799
775,9.204569933871003
776,8.10753623967387
777,7.3572951278066485
778,5.751636835701485
779,4.589828338687928
780,3.5376403908094334
781,2.194584993439474
782,1.2225958475672798
783,1.8350950112828108
784,2.3527037582720918
785,2.648851085912111
786,2.9275835524302636
787,3.4779215844513263
788,4.163421178705603
789,4.857036862331232
790,5.067803683986772
791,4.535653680914332
792,4.501599597922827
793,4.341667802065896
794,3.8302062361646123
795,3.6570154591916357
796,4.298735169430284
797,4.950083062734262
798,5.401755826847798
799,5.565103623392818
800,5.618933989174032
801,5.682904512945166
802,4.756235844687072
803,4.339254893784106
804,4.175736610670011
805,3.84348246109806
806,4.203898680980311
807,4.930714658049582
808,6.998821726118357
809,7.849164717423998
810,7.24132647895036
811,7.327237475476587
812,5.761597531766733
813,5.850613220507253
814,4.471150738398867
815,3.914566637289408
816,3.137147868475836
817,1.9581133299689186
818,2.0963940635644676
819,4.2887448293866255
820,6.771670257558221
821,7.618751354742208
822,7.133621385456342
823,7.4721178475383185
824,8.681924763996495
825,9.700141626784726
826,10.508125195700018
827,9.823734340647421
828,8.952871504491547
829,8.078041498543609
830,6.587185381840407
831,5.198725081712954
832,4.633427513156243
833,4.895995485482402
834,5.200257762471695
835,5.189559074785692
836,4.657976909318879
837,3.7452378365909116
838,3.992548389135065
839,3.3084943633669868
840,2.7020458381123027
841,2.3010902120425216
842,1.9148772924884936
843,1.6350812525671385
844,1.517165556406529
845,2.1707480543379365
846,3.1937423356638805
847,4.646464652944128
848,5.270995327286844
849,5.46303798889454
850,4.030050523312414
851,4.0587456501892945
852,3.7401066777586682
853,3.876368504996954
854,3.693904262555128
855,2.856061495643185
856,3.3127442815664594
857,4.244979433236764
858,4.696837918688493
859,4.942673937647835
860,4.733856516703513
861,4.68215120637902
862,4.204999001936578
863,3.9959792752804777
864,3.9568402741520736
865,4.155488416117135
866,3.785785000053693
867,3.15328585735683
868,3.2707200910059955
869,3.9995944227614997
870,4.409442417067265
871,4.515960980510689
872,4.776054492993239
873,4.929881571348877
874,3.7758680111379403
875,3.8206705541453596
876,4.052529061329105
877,5.120569653466979
878,5.671484061947291
879,6.649059415305146
880,6.949829958946797
881,6.623134268021318
882,7.072295708616233
883,6.721145086307395
884,6.5707229199220585
885,6.787452783172723
886,4.317571846826864
887,4.984786545029114
888,4.912122890480685
889,4.878916164262237
890,6.3471090485755
891,7.911620987024635
892,8.570019915939373
893,8.766578465739649
894,8.12740174710474
895,6.277162745031488
896,5.1157936079617485
897,4.55958016846809
898,1.767984469385111
899,2.6350667181421343
900,4.946652070228758
901,6.341065710684821
902,6.545129127418275
903,6.453377777910698
904,4.890334369257004
905,3.0314594974580507
906,2.7049556211121537
907,3.067324697774277
908,3.059652919827118
909,3.232598450560726
910,2.846424044548131
911,2.276629862753461
912,1.7617269167035596
913,1.3342951764304372
914,1.1867440708422088
915,1.8786480745472325
916,1.804177102579815
917,2.0747770726304817
918,2.9878380118880012
919,3.8354451313737568
920,4.970007918417342
921,6.0148279656780295
922,4.725038533401761
923,5.016755590901641
924,5.303120064554879
925,5.642759129096154
926,5.975459613903448
927,5.454511630880369
928,4.962593145797929
929,4.8619759000260165
930,5.005799685844802
931,5.918244226250287
932,6.255667113696235
933,6.0313894497848075
934,5.421460856126604
935,4.880636989941748
936,4.02803418853246
937,4.225455955583421
938,3.969476730249502
939,3.839662106702676
940,3.507126636939769
941,3.5811575748959013
942,3.522309623525983
943,3.6258902003013986
944,3.55951623232135
945,3.6431176657692816
946,3.007057063389266
947,3.573484670528391
948,3.572746392406894
949,2.928531955082712
950,4.021865149591858
951,4.193067616630564
952,4.250482535892981
953,4.338358932225045
954,4.564060503194054
955,5.430573182619261
956,6.523668862807947
957,7.904117440631244
958,7.091421954005317
959,7.430385185315007
960,7.600046308737832
961,7.441013831306915
962,8.159684978047487
963,8.303433493887033
964,7.748559669866193
965,7.295986834358247
966,6.966545151367368
967,6.521626526524118
968,6.6881466748513
969,7.498098956837921
970,2.996928282405616
971,2.513090516841526
972,3.332832556388884
973,5.741853217891311
974,8.001425912493254
975,9.2749448970205
976,10.39169840391734
977,11.533080212665174
978,12.341053054739483
979,13.009455370514553
980,13.262323992840939
981,13.116933873761347
982,11.140769678208267
983,10.21923384062723
984,9.555555558448763
985,9.740980004689913
986,10.404231292942331
987,11.449386164812742
988,12.52286710965312
989,13.162191311292974
990,14.15753866984569
991,14.771265289348909
992,14.555261801572398
993,14.399100220179822
994,12.540459509318286
995,12.621476318288597
996,12.788664257548946
997,11.270156450263409
